id,nom,sexe,gym_principal,premiere_saison,niveau_declare
g001,Florence Gagnon,F,Rose Bloc Vieux-Longueuil,2022,
g002,Maya Pelletier,F,Rose Bloc Vieux-Longueuil,2019,V5
g003,Samuel Boucher,M,Rose Bloc Vieux-Longueuil,2020,V5
g004,Zoe Thibault,F,Rose Bloc Vieux-Longueuil,2022,V6
g005,Justine Nadeau,F,Rose Bloc Vieux-Longueuil,2021,
g006,Raphael Cloutier,M,Rose Bloc Vieux-Longueuil,2019,V4
g007,Victor Beaulieu,M,Rose Bloc Vieux-Longueuil,2021,V4
g008,Felix Belanger,M,Rose Bloc Vieux-Longueuil,2018,V5
g009,Rosalie Pelletier,F,Rose Bloc Vieux-Longueuil,2018,V6
g010,Antoine Belanger,M,Rose Bloc Vieux-Longueuil,2024,V4
g011,Maya Boucher,F,Rose Bloc Vieux-Longueuil,2018,
g012,Victor Simard,M,Rose Bloc Vieux-Longueuil,2021,
g013,Mathis Levesque,M,Rose Bloc Vieux-Longueuil,2023,V8
g014,Camille Girard,F,Rose Bloc Vieux-Longueuil,2020,
g015,Olivier Belanger,M,Rose Bloc Vieux-Longueuil,2022,V7
g016,Victor Boucher,M,Rose Bloc Vieux-Longueuil,2020,
g017,Anouk Ouellet,F,Rose Bloc Vieux-Longueuil,2021,
g018,Maude Tremblay,F,Rose Bloc Vieux-Longueuil,2021,V6
g019,Maude Belanger,F,Rose Bloc Vieux-Longueuil,2025,
g020,Justine Simard,F,Rose Bloc Vieux-Longueuil,2018,V5
g021,Florence Desjardins,F,Rose Bloc Vieux-Longueuil,2022,V3
g022,Etienne Girard,M,Rose Bloc Vieux-Longueuil,2021,
g023,Noemie Tremblay,F,Rose Bloc Vieux-Longueuil,2023,V5
g024,Adrien Simard,M,Rose Bloc Vieux-Longueuil,2019,
g025,Camille Lemieux,F,Rose Bloc Vieux-Longueuil,2018,V6
g026,Florence Fortin,F,Rose Bloc Vieux-Longueuil,2021,V6
g027,Simon Ouellet,M,Rose Bloc Vieux-Longueuil,2023,
g028,Chloe Morin,F,Rose Bloc Vieux-Longueuil,2021,V4
g029,Clara Lavoie,F,Rose Bloc Vieux-Longueuil,2025,V4
g030,Florence Bouchard,F,Rose Bloc Vieux-Longueuil,2023,V2
g031,Sarah Caron,F,Rose Bloc Vieux-Longueuil,2018,V4
g032,Julien Bouchard,M,Rose Bloc Vieux-Longueuil,2024,V5
g033,Victor Bergeron,M,Rose Bloc Vieux-Longueuil,2023,
g034,Justine Levesque,F,Rose Bloc Vieux-Longueuil,2023,V5
g035,Florence Nadeau,F,Rose Bloc Vieux-Longueuil,2018,V4
g036,Gabriel Fortin,M,Rose Bloc Vieux-Longueuil,2018,V8
g037,Sarah Girard,F,Rose Bloc Vieux-Longueuil,2018,V6
g038,Elise Simard,F,Rose Bloc Vieux-Longueuil,2019,V2
g039,Noemie Pelletier,F,Rose Bloc Vieux-Longueuil,2021,
g040,Maya Cote,F,Rose Bloc Vieux-Longueuil,2025,V5
g041,Emma Girard,F,Rose Bloc Vieux-Longueuil,2024,V4
g042,Simon Lavoie,M,Rose Bloc Vieux-Longueuil,2024,V6
g043,Olivier Poirier,M,Rose Bloc Vieux-Longueuil,2023,V3
g044,Mathis Cote,M,Rose Bloc Vieux-Longueuil,2020,
g045,Zoe Poirier,F,Rose Bloc Vieux-Longueuil,2022,
g046,Zoe Fortin,F,Rose Bloc Vieux-Longueuil,2022,V4
g047,Felix Girard,M,Rose Bloc Vieux-Longueuil,2019,V5
g048,Maude Fortin,F,Rose Bloc Vieux-Longueuil,2021,V4
g049,Julie Nadeau,F,Rose Bloc Vieux-Longueuil,2023,V5
g050,Nicolas Nadeau,M,Rose Bloc Vieux-Longueuil,2020,V4
g051,Maya Cloutier,F,Rose Bloc Vieux-Longueuil,2021,V6
g052,Camille Pelletier,F,Rose Bloc Vieux-Longueuil,2018,V5
g053,Victor Lemieux,M,Rose Bloc Vieux-Longueuil,2020,V4
g054,Julie Gagnon,F,Rose Bloc Vieux-Longueuil,2018,V4
g055,Camille Gagnon,F,Rose Bloc Vieux-Longueuil,2025,V4
